label,description
Pottery,Red-figure vase with geometric motifs discovered at Site A.
Pottery,Small terracotta figurine from Site B showing signs of use.
Tools,Flint scraper with retouch along one edge found near River X.
Tools,Bronze axe head recovered from burial mound 3.
Architecture,Remains of stone foundation from circular dwelling.
Architecture,Fragment of mudbrick wall with plaster coating.
Inscriptions,Limestone tablet inscribed with unknown symbols.
Inscriptions,Carved runic stone fragment from northern region.
Burials,Skeletal remains in crouched position accompanied by pottery jar.
Burials,Stone-lined grave containing bronze ornaments and beads.
